iso3,country,region,income_2022,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,readiness_general_score,readiness_prevention_score,readiness_composting_score,readiness_ad_electricity_score,readiness_bio_cng_score,readiness_collection_score,readiness_income_score,readiness_gdp_score,readiness_urban_score,readiness_existing_biological_score,readiness_existing_recovery_score,readiness_data_completeness_score
USA,United States,N. Amer.,HIC,AD-bio-CNG,28961833.058450043,1.0,0.8507307029350961,Immediate priority,0.9313973696017628,0.9354657898672544,0.8576083260799023,0.8416440420711743,0.8507307029350961,1.0,1.0,0.9815535436892047,0.8004333043196094,0.7549999999999999,0.5966666666666667,0.875
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,0.7911041415110398,0.8053680471703467,0.6704985208129367,0.46695085288115534,0.6465496695315047,0.909,0.75,0.5235266243034524,0.8979940832517467,0.0,0.027227640102324334,0.875
TUR,Türkiye,Eur. & Cent. Asia,UMIC,Prevention,6830247.618499081,1.0,0.7648577383801993,Immediate priority,0.794573215140598,0.7648577383801993,0.6703745063793428,0.5038360287763564,0.6845397114332987,0.994,0.75,0.5583578563019488,0.9205082194010413,0.016989806116329997,0.19983248146350335,0.75
IDN,Indonesia,E. Asia & Pacific,UMIC,Prevention,8619671.166892678,1.0,0.7001696778348313,Immediate priority,0.6005090335044942,0.7001696778348313,0.5076987646315978,0.41116710861960104,0.4800332725018423,0.6253,0.75,0.3773322285536721,0.4999129389687986,0.1555821195575925,0.14762119498674084,0.75
MEX,Mexico,L. Amer. & the Caribbean,UMIC,AD-bio-CNG,9400086.068717005,1.0,0.6975139855039358,Immediate priority,0.820513985503936,0.8568379951679786,0.70395727738597,0.5459481635951599,0.6975139855039358,0.995,0.75,0.5682408179757993,0.78932910954388,0.0315,0.135,1.0
CHN,China,E. Asia & Pacific,UMIC,Prevention,31836581.55139289,1.0,0.6728360774799244,Immediate priority,0.6435082324397728,0.6728360774799244,0.40930060492621506,0.5552827787451116,0.7060082324397728,,0.75,0.5961311149804461,0.6029018147786452,0.0,1.0,0.625
IND,India,S. Asia,LMIC,Prevention,21670975.425812382,1.0,0.5717633194699608,Strategic build-out,0.5152899584098826,0.5717633194699608,0.47528522466473533,0.3859417786780943,0.42528995840988254,0.9544,0.45,0.22530889339047155,0.19674089865894132,0.0,0.0,0.75
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,AD-bio-CNG,7638472.118028007,1.0,0.5671756543474713,Strategic build-out,0.7169600509632231,0.7389866836544078,0.4937977305000076,0.38432735647246563,0.5671756543474713,,0.75,0.6364470123528697,0.7313931915000226,0.0,0.15086241353699284,0.75
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,Prevention,5668140.058539819,0.9896561617484902,0.5419177591141824,Strategic build-out,0.5507532773425471,0.5419177591141824,0.5803743150499133,0.35963920772177876,0.4561699440092138,,0.45,0.3768901642204484,0.75112294514974,0.36499999999999994,0.07166666666666667,0.625
IRQ,Iraq,Mid. East & N. Africa,UMIC,Prevention,5422690.600476332,0.9841999711844832,0.8187902945316362,Immediate priority,0.7063708835949086,0.8187902945316362,0.5837276204427083,0.4235978624538637,0.5565799588080304,0.67,0.75,0.4469439362037095,0.6649104817708333,0.0,0.001045376065609,1.0
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,Prevention,5140421.583702003,0.9776113379481405,0.6119995662486959,Immediate priority,0.5109986987460877,0.6119995662486959,0.525441709669344,0.47231199767727927,0.46266536541275444,0.575,0.45,0.35322665505306294,0.30176683867737597,0.35000000000000003,0.20833333333333334,0.875
THA,Thailand,E. Asia & Pacific,UMIC,Prevention,4877103.086213104,0.9711303440645884,0.7641480423590766,Immediate priority,0.6674441270772297,0.7641480423590766,0.5319295906769911,0.5266159771083021,0.6325956422287448,0.722820037105751,0.75,0.4595022726781843,0.5298983256022134,0.0,0.575757575757575,0.875
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,Prevention,4693274.707371081,0.9663949349641405,0.879156165703806,Immediate priority,0.8874684971114177,0.879156165703806,0.651283143341331,0.5296877328675513,0.7007142475406163,1.0,1.0,0.8322099121917643,0.855132573365324,0.0,0.06622875214599283,0.75
PHL,Philippines,E. Asia & Pacific,LMIC,Prevention,4002326.0483580623,0.9467666060743666,0.5685726497081879,Strategic build-out,0.5057179491245637,0.5685726497081879,0.440917447856109,0.3229439908396764,0.4157179491245636,0.5498,0.45,0.3149199541983822,0.46386979142443596,0.0,0.0,0.75
COL,Colombia,L. Amer. & the Caribbean,UMIC,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,0.7314292447764025,0.7854764149254675,0.6137382110457783,0.4830200166968083,0.6378105855334308,0.806,0.75,0.4521933796988994,0.7739528441831133,0.0,0.28190670378514165,0.875
ARG,Argentina,L. Amer. & the Caribbean,UMIC,AD-bio-CNG,3994268.58769639,0.9465182276490861,0.685723349846134,Immediate priority,0.8357233498461341,0.820241116615378,0.7041261272870867,0.49342244801646473,0.685723349846134,0.98,0.75,0.6121122400823236,0.9615045091483466,0.0,0.0,0.875
AUS,Australia,E. Asia & Pacific,HIC,AD-bio-CNG,3951573.106127394,0.9451936824048737,0.8604882467787214,Immediate priority,0.9398248786781647,0.9382749595593882,0.7598807817735068,0.7382764624621598,0.8604882467787214,0.98,1.0,0.9463333690524063,0.8977910243384173,0.28673210275560995,0.6033168405027833,0.875
VNM,Viet Nam,E. Asia & Pacific,LMIC,Prevention,3910085.923262824,0.943892840906651,0.5688510624662174,Strategic build-out,0.5065531873986522,0.5688510624662174,0.4709928385416667,0.4597589165653188,0.47655318739865216,0.75,0.45,0.3487945828265943,0.23397135416666667,0.15,0.3,0.75
MYS,Malaysia,E. Asia & Pacific,UMIC,Prevention,3174963.063704232,0.9182241651254057,0.7350914047044855,Immediate priority,0.7052742141134565,0.7350914047044855,0.4987739364768902,0.33248623780434855,0.5190666901620162,,0.75,0.5747750470231549,0.7463218094306707,0.0,0.005169904194239333,0.75
DZA,Algeria,Mid. East & N. Africa,LMIC,Prevention,3147226.495451864,0.9171427097360412,0.6106667975929209,Immediate priority,0.6320003927787625,0.6106667975929209,0.593098620784838,0.4308548294842255,0.5653337261120959,0.85,0.45,0.38760748075446066,0.722394483139352,0.049999999999999996,0.11666666666666668,0.75
ESP,Spain,Eur. & Cent. Asia,HIC,AD-bio-CNG,3123352.872795896,0.9162042117085974,0.782174220364908,Immediate priority,0.8324329043998038,0.860810968133268,0.5602209404562335,0.6151407293285405,0.782174220364908,,1.0,0.78033322484213,0.7993983927570854,0.131264428611615,0.7989652638604167,0.75
CHL,Chile,L. Amer. & the Caribbean,HIC,Prevention,2709766.326181421,0.898697058909988,0.9175765407137009,Immediate priority,0.8777296221411024,0.9175765407137009,0.688923450922895,0.4972241947361199,0.680162955474436,0.965,1.0,0.6334543070139328,0.91519380369158,0.0005,0.012166666666666668,0.875
CAN,Canada,N. Amer.,HIC,Prevention,2477478.741389202,0.8876511771333476,0.8746470099233076,Immediate priority,0.8739410297699226,0.8746470099233076,0.5271115099350969,0.5721844193772094,0.780018051828532,,1.0,0.9144295892743994,0.8313345298052908,0.0,0.6243080882344381,0.75
UKR,Ukraine,Eur. & Cent. Asia,LMIC,Prevention,2327533.13522138,0.8799563135861703,0.5993650329127089,Strategic build-out,0.5980950987381267,0.5993650329127089,0.5597519260273668,0.4078772281209643,0.5296674692778975,0.78,0.45,0.3514960387435668,0.6589794549470668,0.0500282491624005,0.10786185269885451,0.75
MAR,Morocco,Mid. East & N. Africa,LMIC,Prevention,2291868.6222355664,0.878053133864097,0.6024325675044535,Immediate priority,0.6072977025133606,0.6024325675044535,0.5692061561835677,0.43093277756650633,0.5442977025133604,0.96,0.45,0.3096638878325316,0.5668246247342708,0.0,0.135,0.75
TZA,Tanzania,Sub-Saharan Africa,LMIC,Prevention,2161734.5572617617,0.8708483039272807,0.47114536910722116,Strategic build-out,0.3384361073216635,0.47114536910722116,0.27421543838984314,0.2077745285292812,0.2571861073216635,,0.45,0.08109811411712478,0.19764631516952932,0.0,0.125,0.625
PER,Peru,L. Amer. & the Caribbean,UMIC,Prevention,2123553.9963977984,0.8686519904077512,0.8015233945250659,Immediate priority,0.7795701835751977,0.8015233945250659,0.6790399338810968,0.4692814609887341,0.63267674319116,0.9417,0.75,0.47293284460772994,0.8582180732682586,0.041241662256129,0.015532798079811666,0.875
BGD,Bangladesh,S. Asia,LMIC,Prevention,2100472.5002956856,0.8673050069749466,0.6588489107297351,Immediate priority,0.5265467321892052,0.6588489107297351,0.4814374490874467,0.4168662329192479,0.44799619218920517,0.7701,0.45,0.25698386459623934,0.15564979634978665,0.0,0.0572473,1.0
VEN,"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),Prevention,1868777.161323446,0.8528996678767579,0.7682196094514623,Immediate priority,0.6796588283543866,0.7682196094514623,0.5897107349109454,0.34509024042563047,0.5296588283543867,0.561,0.75,0.28945120212815223,0.9228429396437813,0.0,0.0,0.875
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,Prevention,1712701.6450317488,0.8421506656727251,0.7330316791631867,Immediate priority,0.57409503748956,0.7330316791631867,0.429027076071755,0.330073376632156,0.42409503748956007,0.371,0.75,0.4043668831607801,0.47010830428702,0.0,0.0,0.875
MMR,Myanmar,E. Asia & Pacific,LMIC,AD-bio-CNG,1680834.3331866006,0.8398357970490514,0.4195675833594571,Strategic build-out,0.4729009166927904,0.5993003055642635,0.4606203191931266,0.39207132800495564,0.4195675833594571,0.83,0.45,0.07202330669144517,0.13748127677250666,0.0,0.18333333333333335,0.875
YEM,"Yemen, Rep.",Mid. East & N. Africa,LIC,Prevention,1567732.5351432888,0.8312501332770891,0.397469590034255,Strategic build-out,0.317408770102765,0.397469590034255,0.254908770102765,0.2005,0.254908770102765,0.177,0.25,,0.21763508041105997,0.0,0.0,0.625
ETH,Ethiopia,Sub-Saharan Africa,LIC,Prevention,1397566.808790034,0.8170888839471673,0.4315175428161997,Strategic build-out,0.29455262844859914,0.4315175428161997,0.2966225624084473,0.25603963252072454,0.2633376824474824,0.4,0.25,0.03627289260920643,0.03649024963378935,0.0,0.09392526999441633,0.75
FRA,France,Eur. & Cent. Asia,HIC,AD-bio-CNG,1389796.0552406055,0.8164016709562202,0.8293007262299144,Immediate priority,0.8447990962603285,0.8649330320867762,0.8150638919502153,0.8613706977770053,0.8293007262299144,,1.0,0.8457404902101725,0.7834558948311413,0.9117357810195049,0.9380065198783435,0.75
LBY,Libya,Mid. East & N. Africa,UMIC,Prevention,1233693.8244010091,0.801717019329384,0.6840044455681525,Immediate priority,0.6770133367044576,0.6840044455681525,0.5098827060416826,0.26335130717319566,0.4895133367044576,,0.75,0.42840522869278264,0.904648118125048,0.0,0.0,0.625
SDN,Sudan,Sub-Saharan Africa,LIC,Prevention,1197924.516656559,0.798090691502634,0.43841844378838607,Strategic build-out,0.3152553313651582,0.43841844378838607,0.319069950684362,0.22599937081766858,0.2652553313651582,0.33,0.25,0.04999685408834303,0.19627980273744802,0.0,0.0,0.75
CUB,Cuba,L. Amer. & the Caribbean,UMIC,Prevention,1192984.5224486543,0.7975813786761158,0.7006173400878907,Immediate priority,0.726852020263672,0.7006173400878907,0.539352020263672,0.38309389506875713,0.5734459153324292,0.771,0.75,,0.761408081054688,0.0,0.13637558027502852,0.625
ROU,Romania,Eur. & Cent. Asia,HIC,Prevention,1190272.4523961886,0.7973008670746271,0.8344050317434958,Immediate priority,0.7532150952304872,0.8344050317434958,0.600235151140864,0.5726666901040179,0.6044971465125385,0.9524,1.0,0.6348290328494064,0.42884644330302935,0.2696941612604265,0.25641025641025633,0.75
ITA,Italy,Eur. & Cent. Asia,HIC,Prevention,1182405.341357395,0.7964835346737906,0.8000231678682442,Immediate priority,0.7750695036047329,0.8000231678682442,0.7323402272080338,0.8366070475087396,0.7734950636137402,,1.0,0.8154916413968799,0.659786373022052,0.9122343086020496,0.9937022400360289,0.625
KHM,Cambodia,E. Asia & Pacific,LMIC,Prevention,1113836.675346542,0.7891204840453387,0.5489925848340752,Strategic build-out,0.4469777545022257,0.5489925848340752,0.4154153872912267,0.34931211133591106,0.38364442116889236,0.54,0.45,0.22322722334622186,0.27166154916490665,0.09999999999999999,0.13333333333333333,0.75
