iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
TUR,Türkiye,Eur. & Cent. Asia,UMIC,Istanbul,istb,15907951.0,15190336.0,2022.0,6552701.091,1.129,0.48,,,0.01,1.0,,,0.75,,0.01,,0.03,0.15,,,,,0.06,0.48,3145296.52368,0.81,2547690.1841808003,0.01,,,65527.01091,,True,False,Prevention,6830247.618499081,1.0,0.7648577383801993,Immediate priority,Prevention,0.766,2.5476901841808,3.14529652368
PAK,Pakistan,S. Asia,LMIC,Karachi,kara,17648600.0,16093786.0,2020.0,5110000.0,0.793,0.261,0.17,0.031,,0.6,,,,0.6,,,,,,,,0.4,,0.431,2202410.0000000005,1.0,2202410.0000000005,,,,,,False,False,,,,,,Missing/insufficient data,0.0,2.2024100000000004,2.2024100000000004
THA,Thailand,E. Asia & Pacific,UMIC,Bangkok,bang,,11391704.0,2023.0,4650000.0,,0.4268,0.069,,,0.91,,,,0.795,,,0.205,,,,,0.09,,0.4958,2305470.0,0.885,2040340.95,,,,,,False,False,Prevention,4877103.086213104,0.9711303440645884,0.7641480423590766,Immediate priority,Prevention,0.828,2.04034095,2.30547
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,Riyadh,rydh,7000000.0,7952861.0,2023.0,3500000.0,1.37,0.572,,,,,0.97,,,,,,0.03,,,,,,,0.572,2002000.0,0.97,1941940.0,,,,,,False,False,Prevention,4693274.707371081,0.9663949349641404,0.879156165703806,Immediate priority,Prevention,0.552,1.94194,2.002
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Sao Paulo,saop,11451999.0,22043028.0,2022.0,4119170.2,0.985,0.47,,,0.009899,,,,0.98227777,,,,,,,,0.00762223,0.0100999999999999,,0.47,1936009.994,0.99237777,1921253.2805434333,,,,,,False,False,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,Prevention,0.592,1.9212532805434333,1.936009994
BGD,Bangladesh,S. Asia,LMIC,Dhaka,dhka,10278882.0,21005860.0,2019.0,2740420.0,0.73,0.8105,,,,0.89,0.745,,,,,,0.1,,,,,0.11,,0.8105,2221110.41,0.855,1899049.40055,,,,,,False,False,Prevention,2100472.5002956856,0.8673050069749466,0.6588489107297351,Immediate priority,Prevention,0.615,1.8990494005499998,2.22111041
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,LIC,Kinshasa,kins,12000000.0,17778474.0,2023.0,2847000.0,0.65,0.65,,,0.0025,0.2222,,0.22,,,,,,,,,,0.78,,0.65,1850550.0,1.0,1850550.0,,,,,,False,False,,,,,,Missing/insufficient data,0.0,1.85055,1.85055
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,Cairo,cair,20000000.0,20900604.0,2019.0,4965825.0,0.68,0.64,,0.006,,0.65,0.21,,,,,,0.44,,,,,0.35,,0.64,3178128.0,0.5599999999999999,1779751.6799999997,,,,,,False,False,Prevention,5140421.583702003,0.9776113379481404,0.6119995662486959,Immediate priority,Prevention,0.889,1.7797516799999997,3.178128
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,Moscow,mosc,,12049135.0,2015.0,7918136.0,,0.247,,0.017,,,,,,0.8355,,,0.0673,0.0972,,,,,,0.247,1955779.592,0.8355,1634053.849116,,,,,,False,False,AD-bio-CNG,7638472.118028007,1.0,0.5671756543474713,Strategic build-out,Prevention,0.512,1.6340538491160002,1.9557795919999998
COL,Colombia,L. Amer. & the Caribbean,UMIC,Bogotá,bogo,7968095.0,10978360.0,2023.0,2667955.0,0.92,0.56,,0.101,,1.0,,,1.0,,,,,,,,,,,0.56,1494054.8,1.0,1494054.8,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,1.4940548,1.4940548
PAK,Pakistan,S. Asia,LMIC,Lahore,laho,14407100.0,14825828.0,2023.0,2520325.0,0.479,0.6131,,,,0.84,0.7965,,,,,0.0434,,,,0.0507,,,0.1094,0.6131,1545211.2574999998,0.9059,1399806.8781692495,0.0434,,,,109382.105,False,True,,,,,,Missing/insufficient data,0.0,1.3998068781692494,1.5452112574999999
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Rio De Janeiro,rioj,6211223.0,13458075.0,2022.0,3133457.0,1.382,0.45,,,0.009796,,,,0.9548,,,,0.0139,0.0011,,,,,0.0302,0.45,1410055.65,0.985,1388904.8152500002,,,,,,False,False,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,Prevention,0.592,1.3889048152500003,1.4100556499999999
NGA,Nigeria,Sub-Saharan Africa,LMIC,Lagos,lago,14368331.0,14368332.0,2021.0,4142385.0,0.79,0.34,0.02,0.01,,0.48,0.4,,,,,,0.08,,,,,0.52,,0.36,1491258.6,0.92,1371957.9120000002,,,,,,False,False,,,,,,Missing/insufficient data,0.0,1.3719579120000003,1.4912586
VNM,Viet Nam,E. Asia & Pacific,LMIC,Ho Chi Minh City,hoch,7980000.0,7348291.0,2017.0,3228425.0,1.108,0.592,,0.024,,0.975,,,0.686,,,0.245,,0.057,,,,,0.0119999999999999,0.592,1911227.6,0.698,1334036.8648,0.245,,,,790964.125,False,True,Prevention,3910085.923262824,0.943892840906651,0.5688510624662174,Strategic build-out,Prevention,0.761,1.3340368648,1.9112276000000001
MEX,Mexico,L. Amer. & the Caribbean,UMIC,Mexico City,meci,11582047.0,21782378.0,2022.0,4527460.0,1.071,0.468,,,0.009881,,,,0.617966790108709,,,0.13522876597778,0.211444271891052,,,,0.0353601720224585,,,0.468,2118851.2800000003,0.617966790108709,1309379.7242193297,0.13522876597778,,,,612242.828813762,False,True,AD-bio-CNG,9400086.068717005,1.0,0.6975139855039358,Immediate priority,AD-bio-CNG,0.593,1.3093797242193297,2.1188512800000003
PHL,Philippines,E. Asia & Pacific,LMIC,Manila,mani,,13923452.0,2020.0,4441634.0,,0.4279,,,,0.9577,,,0.6,,,,,,,,,0.0423,,0.4279,1900575.1886,0.6423,1220739.44363778,,,,,,False,False,Prevention,4002326.0483580623,0.9467666060743666,0.5685726497081879,Strategic build-out,Prevention,0.844,1.2207394436377799,1.9005751886
ARE,United Arab Emirates,Mid. East & N. Africa,HIC,Dubai,dubi,3655000.0,3094643.0,2023.0,3649741.0,2.736,0.36,,0.02,,,,,,0.92,,,0.08,,,,,,,0.36,1313906.76,0.92,1208794.2192000002,,,,,,False,False,Prevention,534380.5881358357,0.6985978286262401,0.8843102196453495,Immediate priority,Prevention,0.767,1.2087942192,1.31390676
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,Tehran,tehr,12420000.0,9134708.0,2022.0,3323294.3,0.733,0.712,,0.018,,,,0.45,,,,0.15,0.4,,,,,,,0.712,2366185.5415999996,0.45,1064783.49372,0.15,,,,498494.145,False,True,Prevention,5668140.058539819,0.9896561617484902,0.5419177591141824,Strategic build-out,Prevention,0.845,1.0647834937199998,2.3661855415999997
NGA,Nigeria,Sub-Saharan Africa,LMIC,Kano,kano,8206892.0,3999050.0,2020.0,2980660.0,0.995,0.377,,,,,,,,,,,0.065,,,,,,0.935,0.377,1123708.82,0.935,1050667.7467,,,,,,False,False,,,,,,Missing/insufficient data,0.0,1.0506677467,1.12370882
TZA,Tanzania,Sub-Saharan Africa,LMIC,Dar Es Salaam,dasa,4300000.0,,2016.0,2193000.0,1.397,0.388511426806671,0.099444101297097,,,0.734154126766986,0.48,,,,,,0.0422279981760146,,,,,0.265845873233014,0.211926128590971,0.487955528103768,1070086.4731315633,0.957772001823985,1024898.8634959852,,,,,,False,False,Prevention,2161734.5572617617,0.8708483039272807,0.4711453691072211,Strategic build-out,Prevention,0.92,1.0248988634959852,1.0700864731315634
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,Jeddah,jddh,3500000.0,,2023.0,1825000.0,1.429,0.554,,,,,,,,0.822,,,,,,,,,0.178,0.554,1011050.0,1.0,1011050.0,,,,,,False,False,Prevention,4693274.707371081,0.9663949349641404,0.879156165703806,Immediate priority,Prevention,0.552,1.01105,1.01105
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,Guayaquil,guay,2674939.0,,2022.0,1768373.7600000002,1.8,0.5171,,,,,,,1.0,,,,,,,,,,,0.5171,914426.0712960002,1.0,914426.0712960002,,,,,,False,False,AD-bio-CNG,874331.9714666697,0.7592807075460002,0.5414616880153087,Strategic build-out,AD-bio-CNG,0.78,0.9144260712960002,0.9144260712960002
IND,India,S. Asia,LMIC,Delhi,dehi,16787941.0,30290936.0,2022.0,4139830.0,0.676,0.4743,,,,1.0,0.2982,,,,1e-05,0.1032,,0.4369,,,,0.11,0.05169,0.4743,1963521.369,0.45989,903003.84238941,0.10321,,1552.73,22.1066922,427027.60433,True,True,Prevention,21670975.425812382,1.0,0.5717633194699608,Strategic build-out,Prevention,0.773,0.90300384238941,1.963521369
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,St.petersburg,stpe,,,2018.0,3076000.0,,0.311,,0.032,,,,,0.2925877763329,0.641677503250975,,0.0433355006501951,0.0121911573472042,0.0020806241872561,,0.0081274382314694,,,,0.311,956636.0,0.934265279583875,893751.7999999998,0.0433355006501951,,,,133300.0,False,True,AD-bio-CNG,7638472.118028007,1.0,0.5671756543474713,Strategic build-out,Prevention,0.512,0.8937517999999998,0.956636
VEN,"Venezuela, RB",L. Amer. & the Caribbean,LMIC,Caracas,cacs,3220540.0,2898755.0,2010.0,1787940.0,1.521,0.5,,,,,,,0.991,,,,0.009,,,,,,,0.5,893970.0,0.991,885924.27,,,,,,False,False,Prevention,1868777.161323446,0.8528996678767579,0.7682196094514623,Immediate priority,Prevention,0.794,0.8859242700000001,0.89397
CIV,Côte d’Ivoire,Sub-Saharan Africa,LMIC,Abidjan,abid,5551934.0,5202762.0,2020.0,1818795.0,0.898,0.453,,0.003,,0.85,,,0.85,,,,,,,,,0.15,,0.453,823914.135,1.0,823914.135,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.823914135,0.823914135
IDN,Indonesia,E. Asia & Pacific,UMIC,Jakarta,jaka,10560000.0,11634078.0,2023.0,3141650.18,0.815,0.4987,,0.0318,,0.99,,,,,,,0.2307,,,,,0.01,0.4935,0.4987,1566740.944766,0.5035,788854.0656896809,,,,,,False,False,Prevention,8619671.166892678,1.0,0.7001696778348313,Immediate priority,Prevention,0.768,0.7888540656896809,1.566740944766
AGO,Angola,Sub-Saharan Africa,LMIC,Luanda,land,8000000.0,8329798.0,2021.0,2500000.0,0.856,0.3029,,,0.005,0.7,,0.4899999999999999,,,,,0.0349999999999999,,,,,0.3,0.175,0.3029,757250.0,0.965,730746.2499999999,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.7307462499999999,0.75725
DZA,Algeria,Mid. East & N. Africa,LMIC,Algiers,algr,3684211.0,2592330.0,2017.0,1300000.0,0.967,0.543999631626482,,,,0.85,,,0.8,,,,,,,,,0.15,0.05,0.543999631626482,707199.5211144267,1.0,707199.5211144267,,,,,,False,False,Prevention,3147226.495451864,0.9171427097360412,0.6106667975929209,Immediate priority,Prevention,0.82,0.7071995211144266,0.7071995211144266
IND,India,S. Asia,LMIC,Ahmedabad,ahdb,7180000.0,,2023.0,1496500.0,0.571,0.35,0.15,,,0.9755,0.9,0.02,,,,,0.08,,,,,0.0245,,0.5,748250.0,0.9445,706722.125,,,1400.0,,,False,True,Prevention,21670975.425812382,1.0,0.5717633194699608,Strategic build-out,Prevention,0.773,0.706722125,0.74825
AFG,Afghanistan,S. Asia,LIC,Kabul,kbul,5000000.0,4221532.0,2021.0,1168000.0,0.64,0.5217,,0.0416,,0.5781,0.4463,,,,,,,,,,,0.475,0.0787,0.5217,609345.6000000001,1.0,609345.6000000001,,,,,,False,False,Prevention,468696.72021104826,0.6824331593964805,0.494261266718303,Strategic build-out,Prevention,0.824,0.6093456,0.6093456
ARE,United Arab Emirates,Mid. East & N. Africa,HIC,Abu Dhabi,abud,3789860.0,1482816.0,2022.0,1829990.8,1.323,0.49,,,,,,0.646484059345921,0.0108493961223707,,,0.0057346057928921,0.336027109293089,0.000904829445727,,,,,,0.49,896695.492,0.6573334554682917,589427.9462591999,0.0057346057928921,,,,10494.2758426194,False,True,Prevention,534380.5881358357,0.6985978286262401,0.8843102196453495,Immediate priority,Prevention,0.767,0.5894279462591999,0.896695492
KHM,Cambodia,E. Asia & Pacific,LMIC,Phnom Penh,phph,2147000.0,1778611.0,2016.0,1031909.5,1.317,0.4918,0.0669,,0.0091,0.833,0.0949,,,0.5791,,,0.0692,,,,,0.167,0.0898,0.5587,576527.83765,0.9308,536632.11128462,,,,,,False,False,Prevention,1113836.675346542,0.7891204840453387,0.5489925848340752,Strategic build-out,Prevention,0.848,0.53663211128462,0.57652783765
KEN,Kenya,Sub-Saharan Africa,LMIC,Nairobi,nair,4397072.0,4734881.0,2019.0,1126025.0,0.702,0.51,0.03,0.02,,0.65,0.5,,,,,,0.15,,,,,0.35,,0.54,608053.5,0.85,516845.475,,,,,,False,False,Prevention,942886.3438376648,0.7685843886382454,0.5491289261599468,Strategic build-out,Prevention,0.803,0.516845475,0.6080535
NGA,Nigeria,Sub-Saharan Africa,LMIC,Ibadan,iban,3163138.0,,2012.0,635000.0,0.55,0.76,,,,0.4,0.4,,,,,,,,,,,0.6,,0.76,482600.0,1.0,482600.0,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.4826,0.4826
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,Santo Domingo,sado,2944550.0,2944551.0,2015.0,730000.0,0.679,0.577,0.0685,0.003,0.009,0.8684,,,,1.0,,,,,,,,,,0.6455,471215.0,1.0,471215.0,,,,,,False,False,Prevention,1100875.2994042623,0.7876778392219946,0.7424462026079087,Immediate priority,Prevention,0.836,0.471215,0.471215
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,Quito,quit,2679722.0,2017260.0,2023.0,735675.126903553,0.752,0.6341,,0.0032,0.00985,,,,0.997,,,,0.003,,,,,,,0.6341,466491.59796954296,0.997,465092.1231756343,,,,,,False,False,AD-bio-CNG,874331.9714666697,0.7592807075460002,0.5414616880153087,Strategic build-out,AD-bio-CNG,0.78,0.4650921231756343,0.466491597969543
UKR,Ukraine,Eur. & Cent. Asia,LMIC,Kiev,kiev,,3018156.0,2023.0,1280960.43,,0.44,,0.023,0.01,1.0,,0.803081896318029,,,,0.0005402198224717,0.0319768135154069,0.110223454825519,,,0.0541776155185732,,,0.44,563622.5891999999,0.803081896318029,452635.09774241335,0.0005402198224717,,,,692.000216087929,False,True,Prevention,2327533.13522138,0.8799563135861703,0.5993650329127089,Strategic build-out,Prevention,0.645,0.45263509774241334,0.5636225892
GHA,Ghana,Sub-Saharan Africa,LMIC,Accra,acra,,2514005.0,2020.0,900000.0,,0.5391,,,,0.454,,,,0.677,,0.012,0.068,,,0.013,,0.23,,0.5391,485190.0,0.907,440067.33,0.012,,,,10800.0,False,True,,,,,,Missing/insufficient data,0.0,0.44006733000000003,0.48519
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,Tashkent,tash,,2517381.0,2022.0,744280.0,,0.59,,,,1.0,,,1.0,,,,,,,,,,,0.59,439125.1999999999,1.0,439125.1999999999,,,,,,False,False,AD-electricity,1056308.3610052995,0.7825844356431367,0.4135910771767895,Strategic build-out,AD-electricity,0.688,0.4391251999999999,0.4391251999999999
ZAF,South Africa,Sub-Saharan Africa,UMIC,Johannesburg,jonb,5599732.0,5782747.0,2021.0,1438294.0,0.809,0.34,,,,0.94,,,,0.885,,,0.115,,,,,,,0.34,489019.96,0.885,432782.6646,,,,,,False,False,Prevention,967913.3651677726,0.771813175989036,0.756672140090268,Immediate priority,Prevention,0.815,0.43278266460000003,0.48901996000000003
IND,India,S. Asia,LMIC,Bengaluru,bglr,8443675.0,,2022.0,2007500.0,0.651,0.53,0.06,,,,,,,,,,,,,,,0.35,,0.5900000000000001,1184425.0000000002,0.35,414548.75000000006,,,,,,False,False,Prevention,21670975.425812382,1.0,0.5717633194699608,Strategic build-out,Prevention,0.773,0.4145487500000001,1.1844250000000003
SEN,Senegal,Sub-Saharan Africa,LMIC,Dakar,daka,,3140442.0,2021.0,979842.0,,0.352941176470588,0.0686274509803922,0.0098039215686274,,0.84,0.84,,,,,,,,,,,0.16,,0.4215686274509801,413070.6470588233,1.0,413070.6470588233,,,,,,False,False,Prevention,156696.92743672951,0.5473940916163427,0.583234312199805,Longer-term / local fit,Prevention,0.837,0.41307064705882335,0.41307064705882335
MMR,Myanmar,E. Asia & Pacific,LMIC,Yangon,yang,5331800.0,5331800.0,2019.0,1167664.2,0.6,0.4433,,,,0.75,,0.5,,,,,0.25,,,,,0.25,,0.4433,517625.53986,0.75,388219.154895,,,,,,False,False,AD-bio-CNG,1680834.3331866006,0.8398357970490514,0.4195675833594571,Strategic build-out,AD-bio-CNG,0.65,0.388219154895,0.51762553986
COL,Colombia,L. Amer. & the Caribbean,UMIC,Medellin,mede,2595300.0,3735098.0,2023.0,678060.0,0.72,0.537,0.031,0.006,,,,,1.0,,,,,,,,,,,0.5680000000000001,385138.08,1.0,385138.08,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,0.38513808,0.38513808
ETH,Ethiopia,Sub-Saharan Africa,LIC,Addis Ababa,adab,4793699.0,4793699.0,2020.0,791320.0,,0.648,,0.009,,0.75,0.4958,,,,,,0.0601,0.1941,,,,0.25,,0.648,512775.36,0.7458,382427.86348800006,,,,,39566.0,False,True,Prevention,1397566.808790034,0.8170888839471673,0.4315175428161997,Strategic build-out,Prevention,0.851,0.38242786348800006,0.51277536
AUS,Australia,E. Asia & Pacific,HIC,Perth,prth,2182170.0,2041959.0,2020.0,1108490.0,1.392,0.46,0.025,0.02,,,,,0.68,,,,0.32,,,,,,,0.485,537617.65,0.68,365580.002,,,,,,False,False,AD-bio-CNG,3951573.106127394,0.9451936824048736,0.8604882467787214,Immediate priority,AD-bio-CNG,0.601,0.36558000199999996,0.5376176500000001
MEX,Mexico,L. Amer. & the Caribbean,UMIC,Guadalajara,guad,1385629.0,5179479.0,2022.0,580495.0,1.15,0.4756999999999999,0.1177,,0.01,,,,1.0,,,,,,,,,,,0.5933999999999999,344465.73299999995,1.0,344465.73299999995,,,,,612242.828813762,False,True,AD-bio-CNG,9400086.068717005,1.0,0.6975139855039358,Immediate priority,AD-bio-CNG,0.593,0.34446573299999994,0.34446573299999994
UGA,Uganda,Sub-Saharan Africa,LIC,Kampala,kamp,1680600.0,2576982.0,2017.0,801803.333333333,,0.43,,,,0.6,,0.54,,,,,0.036,,,,,0.4,0.024,0.43,344775.4333333332,0.964,332363.5177333332,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.3323635177333332,0.34477543333333316
ZAF,South Africa,Sub-Saharan Africa,UMIC,Cape Town,capt,4004793.0,5063583.0,2023.0,1233674.0,0.844,0.204,0.074,0.013,,,,,,0.908,,0.077,0.015,,,,,,,0.2779999999999999,342961.372,0.908,311408.92577599996,0.077,,,,94992.898,False,True,Prevention,967913.3651677726,0.771813175989036,0.756672140090268,Immediate priority,Prevention,0.815,0.31140892577599993,0.342961372
